"zcta5","county","cntyname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","county","cntyname","zipname","Total Pop, 2000 census","zcta5 to county alloc factor"
"63845","29133","Mississippi MO","EAST PRAIRIE",5785,0.988 
"63845","29143","New Madrid MO","EAST PRAIRIE",68,0.012 
"63846","29207","Stoddard MO","ESSEX",1548,1 
"63847","29069","Dunklin MO","GIBSON",126,1 
"63848","29143","New Madrid MO","GIDEON",1506,0.982 
"63848","29155","Pemiscot MO","GIDEON",27,0.018 
"63849","29069","Dunklin MO","GOBLER",144,0.634 
"63849","29155","Pemiscot MO","GOBLER",83,0.366 
"63850","29207","Stoddard MO","GRAYRIDGE",54,1 
"63851","29155","Pemiscot MO","HAYTI HEIGHTS",4622,1 
"63852","29069","Dunklin MO","HOLCOMB",1506,0.981 
"63852","29155","Pemiscot MO","HOLCOMB",29,0.019 
"63853","29155","Pemiscot MO","HOLLAND",277,1 
"63855","29069","Dunklin MO","HORNERSVILLE",1235,1 
