"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"64486","29147",89,0.206 
"64486","29227",342,0.794 
"64487","29005",43,0.052 
"64487","29087",54,0.065 
"64487","29147",735,0.883 
"64489","29075",1865,0.923 
"64489","29147",155,0.077 
"64490","29021",109,0.051 
"64490","29049",656,0.308 
"64490","29063",1367,0.641 
"64491","29005",2350,1 
"64492","29047",201,0.175 
"64492","29049",949,0.825 
"64493","29049",530,1 
"64494","29003",270,0.273 
"64494","29063",719,0.727 
"64496","29005",186,1 
"64497","29061",106,0.198 
"64497","29063",429,0.802 
"64498","29005",407,1 
"64499","29075",18,0.098 
"64499","29227",165,0.902 
"64501","29021",12034,1 
"64503","29021",12330,1 
"64504","29021",10926,1 
"64505","29003",3173,0.252 
"64505","29021",9414,0.748 
"64506","29003",898,0.041 
"64506","29021",20875,0.959 
"64507","29021",14001,1 
"64601","29117",11762,1 
"64620","29061",461,1 
"64622","29033",719,1 
"64623","29033",770,1 
"64624","29025",1437,0.825 
"64624","29033",167,0.096 
"64624","29117",18,0.01 
"64624","29177",119,0.068 
"64625","29025",654,0.871 
"64625","29061",45,0.06 
"64625","29117",52,0.069 
"64628","29041",60,0.01 
"64628","29115",6223,0.99 
"64630","29115",428,0.595 
"64630","29211",291,0.405 
"64631","29115",890,0.873 
"64631","29121",129,0.127 
"64632","29081",549,0.7 
"64632","29129",235,0.3 
"64633","29033",5610,1 
"64635","29079",18,0.034 
"64635","29115",31,0.059 
"64635","29117",480,0.907 
"64636","29061",256,0.911 
"64636","29081",25,0.089 
"64637","29025",561,0.871 
"64637","29177",83,0.129 
"64638","29033",261,0.408 
"64638","29117",379,0.592 
"64639","29033",249,1 
"64640","29061",3185,1 
"64641","29079",599,0.861 
"64641","29211",97,0.139 
"64642","29061",52,0.062 
"64642","29079",105,0.124 
"64642","29081",688,0.814 
"64643","29033",738,0.684 
"64643","29117",341,0.316 
"64644","29025",2805,0.956 
"64644","29061",130,0.044 
"64645","29129",81,0.28 
"64645","29211",208,0.72 
"64646","29115",28,0.073 
"64646","29211",357,0.927 
"64647","29061",339,1 
"64648","29061",1702,0.843 
"64648","29079",271,0.134 
"64648","29117",46,0.023 
"64649","29025",575,0.751 
"64649","29061",191,0.249 
"64650","29025",630,1 
"64651","29115",687,1 
"64652","29079",475,1 
"64653","29115",780,1 
"64655","29171",307,1 
"64656","29117",379,1 
"64657","29061",54,0.122 
"64657","29075",290,0.656 
"64657","29081",98,0.222 
"64658","29041",735,0.203 
"64658","29115",2883,0.794 
"64658","29121",11,0.003 
"64659","29115",932,1 
"64660","29041",558,1 
"64661","29129",1015,1 
"64664","29117",271,1 
"64667","29129",83,0.171 
"64667","29171",32,0.066 
"64667","29211",369,0.762 
"64668","29033",1384,0.873 
"64668","29177",202,0.127 
"64670","29061",860,0.868 
"64670","29063",83,0.084 
"64670","29075",25,0.025 
"64670","29081",23,0.023 
"64671","29025",1417,0.796 
"64671","29177",363,0.204 
"64672","29129",5,0.02 
"64672","29171",249,0.98 
"64673","29129",2286,1 
"64674","29115",502,1 
"64676","29041",272,1 
"64679","29079",735,0.934 
"64679","29129",52,0.066 
"64681","29041",240,0.976 
"64681","29115",6,0.024 
"64682","29033",357,1 
"64683","29079",8229,0.989 
"64683","29117",94,0.011 
"64686","29117",299,1 
"64688","29115",93,0.175 
"64688","29117",437,0.825 
"64689","29061",558,1 
"64701","29037",13351,1 
"64720","29013",3618,1 
"64722","29013",518,1 
"64723","29013",786,1 
"64724","29013",243,0.112 
"64724","29083",7,0.003 
"64724","29185",1924,0.885 
"64725","29013",149,0.083 
"64725","29037",1636,0.917 
"64726","29083",507,0.925 
"64726","29101",41,0.075 
"64728","29217",586,1 
"64730","29013",7174,1 
"64733","29083",227,0.204 
"64733","29101",884,0.796 
"64734","29037",1858,1 
"64735","29015",163,0.013 
"64735","29083",12747,0.987 
"64738","29085",21,0.017 
"64738","29185",1183,0.983 
"64739","29037",737,0.815 
"64739","29083",167,0.185 
"64740","29083",1652,0.841 
"64740","29185",313,0.159 
"64741","29217",367,1 
"64742","29013",464,0.217 
"64742","29037",1676,0.783 
"64743","29037",308,1 
"64744","29039",6769,0.848 
"64744","29185",544,0.068 
"64744","29217",672,0.084 
"64745","29013",51,1 
"64746","29037",1534,1 
"64747","29037",3552,0.938 
"64747","29101",233,0.062 
"64748","29011",1308,0.784 
"64748","29057",200,0.12 
"64748","29097",122,0.073 
"64748","29109",39,0.023 
"64750","29185",8,0.019 
"64750","29217",414,0.981 
"64751","29217",265,1 
"64752","29013",614,0.762 
"64752","29217",192,0.238 
"64755","29011",416,0.155 
"64755","29097",2273,0.845 
"64756","29039",655,0.843 
"64756","29057",122,0.157 
"64759","29011",8140,0.999 
"64759","29057",11,0.001 
"64761","29083",112,0.075 
"64761","29101",1373,0.925 
"64762","29011",1632,1 
"64763","29185",1450,1 
"64767","29217",730,1 
"64769","29011",678,1 
"64770","29013",94,0.09 
"64770","29083",939,0.9 
"64770","29185",10,0.01 
"64771","29217",537,1 
"64772","29217",13289,1 
"64776","29015",54,0.015 
"64776","29185",3455,0.985 
"64778","29217",331,1 
"64779","29013",2397,0.865 
"64779","29217",373,0.135 
"64780","29013",404,0.644 
"64780","29185",223,0.356 
"64781","29185",84,1 
"64783","29185",165,0.198 
"64783","29217",670,0.802 
"64784","29011",133,0.099 
"64784","29039",39,0.029 
"64784","29217",1175,0.872 
"64788","29013",141,0.111 
"64788","29083",1135,0.889 
"64790","29217",853,1 
"64801","29097",32628,1 
"64804","29097",19360,0.56 
"64804","29145",15226,0.44 
"64830","29097",652,1 
"64831","29119",5933,1 
"64832","29011",139,0.192 
"64832","29097",585,0.808 
"64833","29097",109,1 
"64834","29097",7175,1 
"64835","29097",1830,1 
"64836","29097",21960,0.999 
"64836","29145",18,0.001 
"64840","29097",139,0.058 
"64840","29145",2272,0.942 
"64841","29097",415,1 
"64842","29009",38,0.044 
"64842","29145",827,0.956 
"64843","29119",2733,0.871 
"64843","29145",403,0.129 
"64844","29145",4523,1 
"64847","29119",426,1 
"64848","29097",154,0.218 
"64848","29109",554,0.782 
"64849","29097",105,1 
"64850","29119",53,0.003 
"64850","29145",20879,0.997 
"64854","29119",4052,1 
